order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Deferribacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Deferribacterota,Deferribacteres,Bacteria;Bacteria_none;Deferribacterota;Deferribacteres;Deferribacterales
Trueperales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Deinococcota,Deinococci,Bacteria;Bacteria_none;Deinococcota;Deinococci;Trueperales
Dictyoglomales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Dictyoglomota,Dictyoglomia,Bacteria;Bacteria_none;Dictyoglomota;Dictyoglomia;Dictyoglomales
Fusobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Fusobacteriota,Fusobacteriia,Bacteria;Bacteria_none;Fusobacteriota;Fusobacteriia;Fusobacteriales
Kiritimatiellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Kiritimatiellota,Kiritimatiellia,Bacteria;Bacteria_none;Kiritimatiellota;Kiritimatiellia;Kiritimatiellales
Tichowtungiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Kiritimatiellota,Tichowtungiia,Bacteria;Bacteria_none;Kiritimatiellota;Tichowtungiia;Tichowtungiales
Acholeplasmatales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Mycoplasmatota,Mollicutes,Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Acholeplasmatales
Myxococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Myxococcota,Myxococcia,Bacteria;Bacteria_none;Myxococcota;Myxococcia;Myxococcales
Polyangiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Myxococcota,Myxococcota_Incertae_sedis,Bacteria;Bacteria_none;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales
Phycisphaerales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Planctomycetota,Phycisphaerae,Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Phycisphaerales
Pirellulales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Planctomycetota,Planctomycetia,Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales
Planctomycetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Planctomycetota,Planctomycetia,Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales
Caulobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Caulobacterales
Hyphomicrobiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales
Kordiimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Kordiimonadales
Parvularculales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Parvularculales
Rhodobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodobacterales
Rhodospirillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales
Rickettsiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rickettsiales
Sphingomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Sphingomonadales
Burkholderiales,5,3,0,0,1,3,0,3,13,0,2,0,0,0,10,0,0,1,3,4,0,0,0,0,1,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales
Neisseriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales
Nitrosomonadales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Nitrosomonadales
Rhodocyclales,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Rhodocyclales
Aeromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales
Alteromonadales,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Alteromonadales
Cardiobacteriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales
Cellvibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cellvibrionales
Chromatiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Chromatiales
Enterobacterales,27,5,46,1,39,21,39,15,10,0,11,0,26,0,8,0,0,37,1,9,2,34,0,38,23,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales
Lysobacterales,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales
Methylococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Methylococcales
Moraxellales,0,2,0,1,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales
Nevskiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Nevskiales
Oceanospirillales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Oceanospirillales
Pasteurellales,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales
Pseudomonadales,5,0,0,0,0,4,0,3,6,3,2,0,1,0,8,0,0,0,0,1,10,0,0,3,1,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pseudomonadales
Thiohalomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Thiohalomonadales
Thiotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Thiotrichales
Vibrionales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Vibrionales
Leptospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Spirochaetota,Spirochaetia,Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Leptospirales
Spirochaetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Spirochaetota,Spirochaetia,Bacteria;Bacteria_none;Spirochaetota;Spirochaetia;Spirochaetales
Synergistales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Synergistota,Synergistia,Bacteria;Bacteria_none;Synergistota;Synergistia;Synergistales
Desulfarculales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfarculia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfarculia;Desulfarculales
Desulfobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfobacteria,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales
Desulfobulbales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfobulbia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales
Desulfovibrionales,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfovibrionia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales
Desulfuromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfuromonadia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfuromonadia;Desulfuromonadales
Geobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Thermodesulfobacteriota,Desulfuromonadia,Bacteria;Bacteria_none;Thermodesulfobacteriota;Desulfuromonadia;Geobacterales
