order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Polyangiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,Bacteria,Bacteria_none,Myxococcota,Myxococcota_Incertae_sedis,Bacteria;Bacteria_none;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales
Phycisphaerales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,Bacteria,Bacteria_none,Planctomycetota,Phycisphaerae,Bacteria;Bacteria_none;Planctomycetota;Phycisphaerae;Phycisphaerales
Pirellulales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,Bacteria,Bacteria_none,Planctomycetota,Planctomycetia,Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Pirellulales
Planctomycetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,Bacteria,Bacteria_none,Planctomycetota,Planctomycetia,Bacteria;Bacteria_none;Planctomycetota;Planctomycetia;Planctomycetales
Caulobacterales,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Caulobacterales
Hyphomicrobiales,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,210,0,240,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales
Kordiimonadales,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,73,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Kordiimonadales
Parvularculales,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Parvularculales
Rhodobacterales,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,69,0,0,0,37,0,142,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodobacterales
Rhodospirillales,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,109,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales
Rickettsiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,48,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rickettsiales
Sphingomonadales,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,330,Bacteria,Bacteria_none,Pseudomonadota,Alphaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Sphingomonadales
Burkholderiales,1027,7011,306,531,1320,131,3762,12148,12162,27,12447,0,219,0,1668,0,0,2789,1536,367,158,0,588,463,58660,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Burkholderiales
Neisseriales,0,27,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,214,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Neisseriales
Nitrosomonadales,0,54,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Nitrosomonadales
Rhodocyclales,0,8620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8620,Bacteria,Bacteria_none,Pseudomonadota,Betaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Betaproteobacteria;Rhodocyclales
Aeromonadales,197,574,0,0,92,0,110,72,346,0,32,0,0,0,26,0,0,46,0,0,51,0,90,257,1893,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Aeromonadales
Alteromonadales,0,1237,0,0,0,0,266,21293,145,40,180,0,0,0,14,0,0,98,0,0,108,0,177,524,24082,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Alteromonadales
